N° OF;Centre de charge;Code article;Désignation;Client;Qté à lancer;Qté déclarée;Date début prévue;Date fin prévue;Date début réelle;Date fin réelle;Statut OF;Priorité
OF250007;LU-02 Usinage;ART-51810;Support moteur S18;NORDIC MACHINES;2250;2246;13/10/2025;15/10/2025;13/10/2025;15/10/2025;Soldé;Normale
OF250014;LC-03 Conditionnement;ART-62400;Kit conditionné K4;GROUPE VALTEC;7920;7912;13/10/2025;16/10/2025;13/10/2025;16/10/2025;Soldé;Normale
OF250021;LA-01 Assemblage;ART-40130;Carter aluminium A30;SIDER INDUSTRIE;5250;5238;14/10/2025;20/10/2025;14/10/2025;20/10/2025;Soldé;Haute
OF250028;LU-02 Usinage;ART-51210;Support moteur S12;MECAPLUS;4320;4304;15/10/2025;16/10/2025;15/10/2025;16/10/2025;Soldé;Urgente
OF250035;LC-03 Conditionnement;ART-62600;Kit conditionné K6;ATLANTIQUE EQUIP.;9720;9700;16/10/2025;20/10/2025;16/10/2025;20/10/2025;Soldé;Normale
OF250042;LA-01 Assemblage;ART-40120;Carter aluminium A20;TECHNOFORGE;9000;8976;17/10/2025;20/10/2025;17/10/2025;21/10/2025;Soldé;Normale
OF250049;LU-02 Usinage;ART-51810;Support moteur S18;AUTOMOTIVE SA;4950;4922;20/10/2025;24/10/2025;20/10/2025;24/10/2025;Soldé;Normale
OF250056;LC-03 Conditionnement;ART-62400;Kit conditionné K4;NORDIC MACHINES;15840;15840;20/10/2025;21/10/2025;20/10/2025;21/10/2025;Soldé;Haute
OF250063;LA-01 Assemblage;ART-40130;Carter aluminium A30;GROUPE VALTEC;9750;9746;20/10/2025;22/10/2025;20/10/2025;22/10/2025;Soldé;Urgente
OF250070;LU-02 Usinage;ART-51210;Support moteur S12;SIDER INDUSTRIE;2160;2152;21/10/2025;24/10/2025;21/10/2025;24/10/2025;Soldé;Normale
OF250077;LC-03 Conditionnement;ART-62600;Kit conditionné K6;MECAPLUS;5400;5388;22/10/2025;27/10/2025;22/10/2025;27/10/2025;Soldé;Normale
OF250084;LA-01 Assemblage;ART-40120;Carter aluminium A20;ATLANTIQUE EQUIP.;5400;5384;23/10/2025;24/10/2025;23/10/2025;25/10/2025;Soldé;Normale
OF250091;LU-02 Usinage;ART-51810;Support moteur S18;TECHNOFORGE;3150;3130;24/10/2025;27/10/2025;24/10/2025;27/10/2025;Soldé;Haute
OF250098;LC-03 Conditionnement;ART-62400;Kit conditionné K4;AUTOMOTIVE SA;10560;10536;27/10/2025;30/10/2025;27/10/2025;30/10/2025;Soldé;Urgente
OF250105;LA-01 Assemblage;ART-40130;Carter aluminium A30;NORDIC MACHINES;6750;6722;27/10/2025;31/10/2025;27/10/2025;31/10/2025;Soldé;Normale
OF250112;LU-02 Usinage;ART-51210;Support moteur S12;GROUPE VALTEC;5400;5400;28/10/2025;29/10/2025;28/10/2025;29/10/2025;Soldé;Normale
OF250119;LC-03 Conditionnement;ART-62600;Kit conditionné K6;SIDER INDUSTRIE;11880;11876;29/10/2025;31/10/2025;29/10/2025;31/10/2025;Soldé;Normale
OF250126;LA-01 Assemblage;ART-40120;Carter aluminium A20;MECAPLUS;10800;10792;30/10/2025;03/11/2025;30/10/2025;04/11/2025;Soldé;Haute
OF250133;LU-02 Usinage;ART-51810;Support moteur S18;ATLANTIQUE EQUIP.;5850;5838;31/10/2025;04/11/2025;31/10/2025;04/11/2025;Soldé;Urgente
OF250140;LC-03 Conditionnement;ART-62400;Kit conditionné K4;TECHNOFORGE;5280;5264;03/11/2025;04/11/2025;03/11/2025;04/11/2025;Soldé;Normale
OF250147;LA-01 Assemblage;ART-40130;Carter aluminium A30;AUTOMOTIVE SA;3750;3730;03/11/2025;05/11/2025;03/11/2025;05/11/2025;Soldé;Normale
OF250154;LU-02 Usinage;ART-51210;Support moteur S12;NORDIC MACHINES;3240;3216;03/11/2025;06/11/2025;03/11/2025;06/11/2025;Soldé;Normale
OF250161;LC-03 Conditionnement;ART-62600;Kit conditionné K6;GROUPE VALTEC;7560;7532;04/11/2025;10/11/2025;04/11/2025;10/11/2025;Soldé;Haute
OF250168;LA-01 Assemblage;ART-40120;Carter aluminium A20;SIDER INDUSTRIE;7200;7200;05/11/2025;06/11/2025;05/11/2025;07/11/2025;Soldé;Urgente
OF250175;LU-02 Usinage;ART-51810;Support moteur S18;MECAPLUS;4050;4046;06/11/2025;10/11/2025;06/11/2025;10/11/2025;Soldé;Normale
OF250182;LC-03 Conditionnement;ART-62400;Kit conditionné K4;ATLANTIQUE EQUIP.;13200;13192;07/11/2025;10/11/2025;07/11/2025;10/11/2025;Soldé;Normale
OF250189;LA-01 Assemblage;ART-40130;Carter aluminium A30;TECHNOFORGE;8250;8238;10/11/2025;14/11/2025;10/11/2025;14/11/2025;Soldé;Normale
OF250196;LU-02 Usinage;ART-51210;Support moteur S12;AUTOMOTIVE SA;6480;6464;10/11/2025;11/11/2025;10/11/2025;11/11/2025;Soldé;Haute
OF250203;LC-03 Conditionnement;ART-62600;Kit conditionné K6;NORDIC MACHINES;14040;14020;11/11/2025;13/11/2025;11/11/2025;13/11/2025;Soldé;Urgente
OF250210;LA-01 Assemblage;ART-40120;Carter aluminium A20;GROUPE VALTEC;3600;3576;12/11/2025;17/11/2025;12/11/2025;18/11/2025;Soldé;Normale
OF250217;LU-02 Usinage;ART-51810;Support moteur S18;SIDER INDUSTRIE;2250;2222;13/11/2025;17/11/2025;13/11/2025;17/11/2025;Soldé;Normale
OF250224;LC-03 Conditionnement;ART-62400;Kit conditionné K4;MECAPLUS;7920;7920;14/11/2025;17/11/2025;14/11/2025;17/11/2025;Soldé;Normale
OF250231;LA-01 Assemblage;ART-40130;Carter aluminium A30;ATLANTIQUE EQUIP.;5250;5246;17/11/2025;19/11/2025;17/11/2025;19/11/2025;Soldé;Haute
